id,content,timestamp,author_id,author_username,attachments,embed_1_url,embed_1_desc,embed_1_images,embed_2_url,embed_2_desc,embed_2_images
937306798518571068,<@&921766382620774410> https://twitter.com/EzekClub/status/1487748029046489090,2022-01-30T11:22:35.085000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487748029046489090,"When  💃@8sianNFT meets 🧸#PhantaBear….
 #8sian has🎁gifted #PhantaBear!
🌟Chinese Lunar New Year’s lucky draw(🧧8sian NFT x 8🧧):",https://pbs.twimg.com/media/FKWK8SUacAAwgox.jpg:large,,,
937319198990950480,<@&921766382620774410> https://twitter.com/EzekClub/status/1487760457285115905,2022-01-30T12:11:51.588000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487760457285115905,Will the next gift be Phancy Pets?                                     下个礼物 会不会是Phancy Pets,https://pbs.twimg.com/media/FKU75LqVcAM6Kts.png:large,,,
937319199594922034,<@&921766382620774410> https://twitter.com/EzekClub/status/1487760422812143618,2022-01-30T12:11:51.732000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487760422812143618,My pleasure to have @8sianNFT meet @EzekClub PhantaBear 😉❤️ more collab projects to come so stay tuned! https://t.co/B3lyB6lQyf,,,,
937368755514769479,<@&921766382620774410> https://twitter.com/EzekClub/status/1487810018875363333,2022-01-30T15:28:46.784000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487810018875363333,"8SIAN X @EzekClub 

In celebration of our partnership with @EzekClub  we are giving away 8X Phancy Pets🔥

➡️ Follow @8sianNFT & @EzekClub 
➡️ RT, Like, Tag Friends
➡️Join https://t.co/3wUG0DToP1 -> Collab Giveaway Channel -> Click the emoji on the raffle bot

#8SIAN #Metaverse",https://pbs.twimg.com/media/FKWMj96VIAExtYi.jpg:large,,,
937464729553735710,<@&921766382620774410> https://twitter.com/EzekClub/status/1487905963705536512,2022-01-30T21:50:08.778000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487905963705536512,"Claim66只Phancy Pets，狗狗军团诞生！祝熊弟熊妹们新年快乐，虎年一起走向巅峰！
@EzekClub",https://pbs.twimg.com/media/FKXCQ_aVUAMHiyI.jpg:large,,,
937465184035934280,<@&921766382620774410> https://twitter.com/EzekClub/status/1487906448848076800,2022-01-30T21:51:57.135000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487906448848076800,"Look who just got Karafuru’d 😎
@EzekClub 

#KarafuruNFT",https://pbs.twimg.com/media/FKUiSZzacAA5jKa.jpg:large,,,
937613551529508864,<@&921766382620774410> https://twitter.com/EzekClub/status/1488054816530386944,2022-01-31T07:41:30.702000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1488054816530386944,"#Phantabear ""Bearos Call"" Chinese New Year’s Eve Theme Online Party🐯 with a special guest who has been a golden member of the choir team in Jay Chou’s concerts for the past 29 years🎤 Time: 1/31 GMT+8 starting at 11PM
Location: https://t.co/44JNr5o4Pl","https://pbs.twimg.com/media/FKah9vkaMAIFI-X.jpg:large,https://pbs.twimg.com/media/FKah9vxaIAESkie.jpg:large,https://pbs.twimg.com/media/FKah9vjaUAIMz7x.jpg:large",,,
937618011911761960,<@&921766382620774410> https://twitter.com/EzekClub/status/1488059270956343302,2022-01-31T07:59:14.140000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1488059270956343302,♥️Welcome friends from All over the world to join this fantastic CNY event. #四海之內皆熊弟🐻 https://t.co/c4MJDCEfzx,,,,
937630649995628574,<@&921766382620774410> https://twitter.com/EzekClub/status/1488071888933113861,2022-01-31T08:49:27.294000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1488071888933113861,"#Phantabear 's security team deciphers and reverse traces malicious attacker sink addresses：
A meticulous investigation has been conducted by our very experienced #Phantabear Blockchain Cybersecurity team.🚀","https://pbs.twimg.com/media/FKaxfiKaAAAgVXM.jpg:large,https://pbs.twimg.com/media/FKaxfiNaUAA99zc.jpg:large",,,
937676164628111431,<@&921766382620774410> https://twitter.com/EzekClub/status/1488117405280718851,2022-01-31T11:50:18.828000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1488117405280718851,"🐻We now officially announce #PhantaBear ”#PhantaTreasure"" Plan:
From Now on, We will take 1% + 1% from the #PhantaBear whole Secondary Market Trading Volume to help boost the value of #PhantaBear and create the #PhantaBear Community Wallet.❤️",https://pbs.twimg.com/media/FKba418aAAM5VKS.jpg:large,,,
937707707748720681,<@&921766382620774410> https://twitter.com/EzekClub/status/1488148964322922502,2022-01-31T13:55:39.294000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1488148964322922502,@Jejouw @KarafuruNft @EzekClub Now this is crazy,https://pbs.twimg.com/media/FKbTGXIUUAQ-VlE.jpg:large,,,
